CODE,Form,Lot,Crop,pH,B,Ca,Cu,Fe,K,Mg,Mn,N,P,S,Zn
AAFOL202101837,morant,23,Banana,4,52.85,0.62,11.48,188.62,2.96,0.41,170.06,2.9,0.17,0.18,103.09
AAFOL202101838,blocks,34,Banana,6,45.45,0.58,10.93,146.12,3.21,0.35,119.08,2.91,0.17,0.17,93.44
AAFOL202101839,jam pro,23,Banana,4,41.01,0.75,12.85,138.45,3.46,0.41,142.23,2.98,0.18,0.19,67.73
AAFOL202101840,apple form,2,Banana,3,56.7,0.69,12.92,353.88,3.44,0.4,125.35,2.93,0.2,0.2,101.49
AAFOL202101841,yallahs bay,2A,Banana,4,62.92,0.68,11.27,233.4,3.21,0.33,184.61,2.9,0.18,0.19,105.53
AAFOL202101842,morant,2,Banana,3,58.76,0.6,10.68,158.68,3.12,0.33,153.89,2.9,0.17,0.2,100.6
AAFOL202101843,blocks,22,Banana,5,63.62,0.72,10.06,155.38,3.07,0.32,134.76,2.81,0.17,0.21,121.61
AAFOL202101844,jam pro,3,Banana,7,52.85,0.63,10.36,156.87,3.49,0.38,115.59,2.74,0.17,0.18,117.63
AAFOL202101845,apple form,2,Banana,8,55.05,0.71,9.98,213.57,3.39,0.32,182.74,2.78,0.16,0.2,126.05
AAFOL202101846,yallahs bay,2,Banana,5,56.72,0.69,12.08,204.59,3.17,0.41,113.97,2.81,0.15,0.19,129.64
AAFOL202101847,morant,2,Banana,5,54.13,0.7,8.92,158.32,3.76,0.42,125.95,2.78,0.17,0.19,116.43
AAFOL202101848,blocks,323,Banana,4,49.45,0.75,8.68,218.56,3.39,0.37,159.38,2.82,0.16,0.19,149.1
AAFOL202101849,jam pro,23,Banana,6,76.05,0.69,10.58,502,3.24,0.34,198.9,2.92,0.16,0.24,137.62
